Air Power,Cadence,Form Power,Ground Time,Leg Spring Stiffness,Power,Vertical Oscillation,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,speed,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,241.0,6.028,0.0,105.0,0.0,2019-09-12 00:09:40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33,241.0,6.093,0.0,105.0,0.0,2019-09-12 00:09:41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.53,241.20000000000005,4.796,0.0,104.0,0.0,2019-09-12 00:09:46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.08,241.4,4.273,0.0,104.0,0.0,2019-09-12 00:09:47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.53,241.4,2.818,0.0,103.0,0.0,2019-09-12 00:09:49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,61.1,242.20000000000005,4.133,0.0,102.0,0.0,2019-09-12 00:09:52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,80.48,243.6,4.861,0.0,104.0,0.0,2019-09-12 00:09:56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,85.71,243.79999999999995,5.001,0.0,105.0,0.0,2019-09-12 00:09:57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,117.42,244.6,5.001,0.0,107.0,0.0,2019-09-12 00:10:03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.08,245.20000000000005,4.096,0.0,111.0,0.0,2019-09-12 00:10:06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,137.71,245.6,3.798,0.0,114.0,0.0,2019-09-12 00:10:08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,140.94,245.6,3.592,0.0,113.0,0.0,2019-09-12 00:10:09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,146.48,246.0,2.715,0.0,111.0,0.0,2019-09-12 00:10:11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,153.7,246.20000000000005,3.742,0.0,111.0,0.0,2019-09-12 00:10:13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,162.61,246.4,4.488,0.0,112.0,0.0,2019-09-12 00:10:15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,173.88,247.0,5.365,0.0,112.0,0.0,2019-09-12 00:10:17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,216.83,248.4,6.224,0.0,115.0,0.0,2019-09-12 00:10:24
