cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,timestamp
77.0,12.19,249.4,1.866,0.0,77.0,2019-07-08 21:04:14
77.0,14.08,259.6,1.894,0.0,80.0,2019-07-08 21:04:15
77.0,14.08,259.79999999999995,1.894,0.0,83.0,2019-07-08 21:04:16
77.0,14.99,260.4,1.903,0.0,83.0,2019-07-08 21:04:17
77.0,16.95,262.20000000000005,1.997,0.0,86.0,2019-07-08 21:04:18
74.0,20.6,265.20000000000005,2.025,0.5,90.0,2019-07-08 21:04:20
74.0,26.36,265.79999999999995,2.006,0.5,92.0,2019-07-08 21:04:22
0.0,36.47,268.6,1.764,0.0,94.0,2019-07-08 21:04:29
0.0,37.95,271.20000000000005,0.0,0.0,91.0,2019-07-08 21:04:33
0.0,39.15,272.6,0.0,0.0,88.0,2019-07-08 21:04:35
0.0,40.23,273.20000000000005,0.0,0.0,87.0,2019-07-08 21:04:36
0.0,43.0,274.6,0.0,0.0,84.0,2019-07-08 21:04:38
0.0,54.29,284.4,0.644,0.0,82.0,2019-07-08 21:04:44
73.0,58.1,288.79999999999995,0.821,0.0,79.0,2019-07-08 21:04:46
75.0,64.17,290.20000000000005,1.278,0.5,81.0,2019-07-08 21:04:49
76.0,65.67,289.4,1.372,0.0,83.0,2019-07-08 21:04:50
76.0,67.74,288.6,1.465,0.0,82.0,2019-07-08 21:04:51
76.0,73.35,287.0,1.586,0.0,84.0,2019-07-08 21:04:53
78.0,75.83,286.20000000000005,1.624,0.5,87.0,2019-07-08 21:04:54
78.0,81.6,285.0,1.726,0.5,92.0,2019-07-08 21:04:56
78.0,86.46,284.20000000000005,1.801,0.5,94.0,2019-07-08 21:04:58
78.0,92.13,283.4,1.857,0.5,97.0,2019-07-08 21:05:00
77.0,93.68,283.0,1.894,0.5,98.0,2019-07-08 21:05:01
77.0,101.15,281.6,1.931,0.0,101.0,2019-07-08 21:05:04
78.0,110.88,280.20000000000005,1.95,0.0,101.0,2019-07-08 21:05:08
79.0,125.8,280.20000000000005,2.071,0.0,102.0,2019-07-08 21:05:14
78.0,139.09,281.6,2.062,0.0,103.0,2019-07-08 21:05:20
79.0,159.68,280.6,2.099,0.0,104.0,2019-07-08 21:05:27
